City,State,Status,Group,State_Abbrv,Estimated_City_Total_Population,Estimated_City_Population_5-17,SNAP_Recipients_July_17,Total_Public_School_Expediture,Prct_of_US_Total_School_Expenditure_,Public_School_Teacher_Salary_Expenses,Total_Public_School_Reveune,State_Public_School_Revenue,Local_Public_School_Revenue,estabs,estabs_entry,estabs_exit,job_creation,job_creation_births,job_creation_continuers,job_destruction,job_destruction_deaths,job_destruction_continuers,net_job_creation_rate,Fam_Income_50_to_100K,Fam_Income_Under_25k,Homeowners,Renters,Welfare,Heart_Disease_Age_35_to_64,Heart_Disease_Age_65_Up,Stroke_Age_35_to_64,High_Blood_Pressure,COPD,Smokers,Regular_Dental_Cleanings,Diabetes,Leisure_Time_Exercise,Poor_Mental_Health,Obesity,Poor_Physical_Health,Lack_of_Sleep
Tucson,Arizona,I,2,AZ,504979,72229,136905,419774,0.00066671,243608,419774,146448,218281,29292,2750,2376,69837,20352,49485,66516,19295,47221,0.608,0.370517928,0.25498008,0.590405904,0.409594096,0.006644518,47.7,570.4,13.7,26.8,6.7,18.8,59.6,10,25.5,14.1,29,14.4,34.2
Riverside,California,I,2,CA,276980,46153,265617,607478,0.000964833,255658,693389,438298,217825,117001,12204,11237,345537,93921,251616,256003,88794,167209,4.118,0.25443787,0.307692308,0.33,0.67,0,50.8,772.4,13.6,30,5.5,15.5,63.1,11.6,24.3,12.9,31.6,12.8,37.2
Sacramento,California,I,2,CA,354952,53153,200158,732511,0.001163418,284231,798448,552503,182909,40141,5038,4313,125191,42110,83081,99446,37718,61728,2.965,0.330960854,0.158362989,0.715179969,0.284820031,0.012547051,53.5,623.3,18.1,26.4,5.2,15.2,60.8,9.1,23.3,13.1,28.1,12.2,38.7
San Francisco,California,I,2,CA,881549,78817,48269,821981,0.00130552,291557,1046962,355502,641804,18405,1630,1645,42729,13173,29556,39284,14013,25271,1.079,0.360703812,0.17888563,0.559139785,0.440860215,0.004739336,27.8,406.9,11,30.3,5.9,15.7,60.5,10.4,22.7,13.2,28.1,12.7,37.8
San Jose,California,I,2,CA,272092,39762,88180,366919,0.000582763,213778,446585,123307,304683,57476,7268,5896,166312,54802,111510,120574,45530,75044,4.191,0.351421189,0.139534884,0.623222749,0.376777251,0,24,394.3,10.2,25,4,11.7,69.7,8.5,17.8,9.9,17.1,8.9,30.4
Orlando,Florida,I,2,FL,1393452,221934,208420,1997182,0.003172045,662417,2501267,868919,1394723,34551,2874,2883,73762,19404,54358,66611,21061,45550,1.158,0.246231156,0.286432161,0.612440191,0.387559809,0.015384615,45.1,569.8,16,28.2,5.1,17.3,74.7,8.9,17.2,11,25.2,9,36.4
Boston,Massachusetts,I,2,MA,687699,74147,132874,1273247,0.002022247,844610,1611738,384772,1145053,32521,3165,2906,68325,22258,46067,66429,22987,43442,0.36,0.290123457,0.188271605,0.614730878,0.385269122,0.027707809,34.8,383.8,10.3,31.5,5.8,17.6,57.5,10.9,26.4,12.2,33,12.4,36
Washington,Maryland,I,2,MD,151049,24216,22573,1097091,0.001742466,689845,1507836,0,1371786,48821,4714,4707,140555,42092,98463,109819,38629,71190,3.189,0.292479109,0.309192201,0.609336609,0.390663391,0.005905512,63.9,733.9,13.2,25.1,5.1,16.4,66.6,8.4,19.9,13.9,22.9,10.5,35.5
Raleigh,North Carolina,I,2,NC,1111761,195470,77799,1436207,0.00228107,1001050,1487989,908023,477558,69300,7157,6797,171490,56714,114776,144670,47965,96705,2.111,0.287298387,0.180443548,0.536044362,0.463955638,0.009893993,32.6,381.2,12,30.5,5.2,17.1,66.2,9.1,19.1,11.9,29.1,10.3,33.4
Las Vegas,Nevada,I,2,NV,2266715,381325,352026,2955544,0.004694173,1933838,3508225,1089847,2116833,24220,2070,1918,69735,16334,53401,52855,18770,34085,3.665,0.319494585,0.216606498,0.578861789,0.421138211,0.007022472,62.8,701.5,17.7,22,4.2,19.5,67.1,5.8,19.4,13.8,24.8,8.7,37
Austin,Texas,I,2,TX,791335,103801,101464,863947,0.001372173,350365,1547245,69040,1365579,43031,3440,3337,127004,34104,92900,112425,43109,69316,1.483,0.308049536,0.216718266,0.602601156,0.397398844,0.028503563,33.3,432.9,11.1,24.4,5.1,16.6,70.7,7.7,14.3,12.1,22.8,10.1,30.8
San Antonio,Texas,I,2,TX,360076,62490,294784,605526,0.000961733,234242,693808,258863,298726,22426,1828,1825,48785,12610,36175,44947,12179,32768,0.846,0.292682927,0.219512195,0.807692308,0.192307692,0.006993007,51.8,596.1,19,22.5,4,14.9,65,7.9,20.4,11.4,25.4,9.4,29.7
Salt Lake City,Utah,I,2,UT,210090,29625,75520,531892,0.000844783,372780,642382,371384,228372,30068,3471,2576,76710,28079,48631,61718,22168,39550,2.918,0.319767442,0.215116279,0.641361257,0.358638743,0.006423983,33.7,422.7,11.2,30.4,5.6,16.5,54.2,12.1,29.5,13,32.6,12.9,35.8
Richmond,Virginia,I,2,VA,230436,26348,29629,516195,0.000819852,214086,612248,266203,312725,55374,6331,4704,150098,47676,102422,117860,38026,79834,3.053,0.32748538,0.283625731,0.538461538,0.461538462,0.006622517,44.1,496.3,15.3,29.4,5.4,15.7,55.3,12.7,30.2,12.5,37.8,14.1,35
